"PLAYER_ID","MMR","RANK","WIN","LOSE","TOTAL_MATCHES","WINRATE_PORCENTAGEM"
"32689760","2185","25","401","471","872","45"
"33266572","1881","21","2504","2621","5125","48"
"33507012","5169","80","6590","5925","12515","52"
"33518591","3141","35","2359","2514","4873","48"
"33551706","3736","52","2317","2273","4590","50"
"33571014","3708","41","2682","2839","5521","48"
"33988426","3039","33","1571","1621","3192","49"
"34123183","2776","33","1237","1308","2545","48"
"34398259","2760","34","855","866","1721","49"
"34697180","3497","54","2137","2103","4240","50"
"34888268","2559","25","1113","1084","2197","50"
"35317696","3134","51","2565","2332","4897","52"
"35395292","3639","22","3242","3708","6950","46"
"36282440","3506","35","3952","3986","7938","49"
"36284884","3002","32","3073","3058","6131","50"
"36686197","3777","74","3500","3413","6913","50"
"36794590","2999","43","2005","1753","3758","53"
"37318874","4111","74","3746","3623","7369","50"
"37656682","3091","43","805","794","1599","50"
"37793740","3120","42","1785","1869","3654","48"
"37989300","2895","35","914","878","1792","51"
"38306879","3614","63","3178","2926","6104","52"
"38529531","3532","53","4595","4342","8937","51"
"38556028","1011","12","402","504","906","44"
"38682480","2936","43","1812","1824","3636","49"
"39028991","3011","34","3869","3868","7737","50"
"39075712","3106","51","2952","2893","5845","50"
"39751360","3487","55","4152","3990","8142","50"
"39903904","1880","24","984","1051","2035","48"
"40321904","3795","65","2902","2664","5566","52"
"40503898","4337","80","5272","5291","10563","49"
"40808298","3263","32","913","971","1884","48"
"41062038","3422","55","245","234","479","51"
"41272518","4703","74","5226","4856","10082","51"
"41441500","2674","33","141","166","307","45"
"41449566","3395","62","4035","3885","7920","50"
"41794757","3146","44","1669","1701","3370","49"
"42145244","3656","62","2677","2145","4822","55"
"42372144","3647","61","3075","3062","6137","50"
"43342582","4000","62","5173","4999","10172","50"
"43536747","3687","51","3608","3562","7170","50"
"43732816","3387","","1287","1000","2287","56"
"45007179","4097","65","4575","4663","9238","49"
"45084227","2080","","2261","2436","4697","48"
"45409103","3527","62","621","587","1208","51"
"45417812","3855","53","1222","1195","2417","50"
"46071290","3430","53","2895","2505","5400","53"
"46145295","2371","13","555","656","1211","45"
"46702936","4190","64","1160","880","2040","56"
"46802496","3478","71","1611","1188","2799","57"
"47749775","4588","72","5159","5029","10188","50"
"47800818","2164","34","3707","3823","7530","49"
"47852992","3662","44","1201","1007","2208","54"
"47915108","3910","55","199","148","347","57"
"47939553","3990","61","2594","2430","5024","51"
"47941860","3527","62","2661","2398","5059","52"
"48849212","2989","61","1532","1462","2994","51"
"48882665","2870","43","1676","1651","3327","50"
"49016796","2814","43","4725","4646","9371","50"
"49640159","2949","","2347","2250","4597","51"
"49848694","3915","53","3129","3182","6311","49"
"49874500","1596","12","908","1111","2019","44"
"50088598","4249","74","6992","6747","13739","50"
"50248620","3461","65","1755","1666","3421","51"
"50326416","3517","51","1205","1158","2363","50"
"50470435","2969","","1931","2068","3999","48"
"50538847","3528","33","1461","1586","3047","47"
"50739249","2534","32","1610","1657","3267","49"
"50761873","2792","35","1746","1793","3539","49"
"51554236","2859","42","1421","1481","2902","48"
"51676494","3472","51","1446","1255","2701","53"
"51933271","3148","32","2953","2989","5942","49"
"52020909","3437","52","2260","2273","4533","49"
"52291400","3000","","474","456","930","50"
"52360311","2856","32","1567","1699","3266","47"
"52451905","3423","71","2415","2062","4477","53"
"52598923","3674","55","2369","2228","4597","51"
"52633392","2016","22","602","675","1277","47"
"52745545","3242","61","4061","3810","7871","51"
"52945938","3199","44","2277","2349","4626","49"
"53223561","4056","45","2900","2856","5756","50"
"53533671","3242","","570","507","1077","52"
"53854484","3825","55","316","264","580","54"
